learning evaluation instances,classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),classified instances of class 0,classified instances of class 1,recall (true positive) for class 0 (percent),recall (true positive) for class 1 (percent),incorrect classifications (false positive) for class 0 (percent),incorrect classifications (false positive) for class 1 (percent),size of class 0,size of class 1,training queue size,time stamp
8180.0,8180.0,60.48103615293717,18.164963988053234,-66.33220783088545,-178.8386940820897,6561.0,1619.0,57.57193001950426,76.73044507904585,42.428069980496446,23.269554920954207,0.8575201056170724,0.14247989438292805,5850.0,1.406237041E9
8181.0,8181.0,60.8762257914078,18.393043789011557,-66.33220783088558,-178.8386940820899,6562.0,1619.0,57.996210719309225,76.73044507904585,42.003789280691485,23.269554920954207,0.8575201056170724,0.14247989438292805,5852.0,1.406238836E9
8182.0,8182.0,60.267463533493725,17.764311809350968,-70.6265872597856,-186.03777577205904,6563.0,1619.0,57.41624861211613,76.73044507904585,42.58375138788458,23.269554920954207,0.8589449045609017,0.14105509543909878,5852.0,1.406239106E9
8183.0,8183.0,59.6647888981588,17.156348425860365,-74.96434425867464,-193.30957545889666,6564.0,1619.0,56.84208612599496,76.73044507904585,43.15791387400574,23.269554920954207,0.8250542067026222,0.17494579329737836,5858.0,1.406262679E9
8184.0,8184.0,60.068141009177204,17.381256594774214,-74.96434425867476,-193.30957545889703,6565.0,1619.0,57.273665264735016,76.73044507904585,42.72633473526569,23.269554920954207,0.81853562798924,0.18146437201076054,5861.0,1.406266687E9
8185.0,8185.0,60.46745959908544,18.89724238712411,-67.54891248841794,-173.05072269125048,6565.0,1620.0,57.273665264735016,76.96314064801612,42.72633473526569,23.036859351983917,0.8203502717093476,0.17964972829065293,5862.0,1.406269925E9
8186.0,8186.0,60.8627850030946,19.12895430593543,-60.67050570795076,-173.05072269125063,6566.0,1620.0,57.70092861208769,76.96314064801612,42.29907138791303,23.036859351983917,0.829154895928351,0.17084510407164946,5861.0,1.406275345E9
8187.0,8187.0,61.25415715306366,19.357048568438408,-60.67050570795076,-173.0507226912505,6567.0,1620.0,58.123919325966824,76.96314064801612,41.876080674033894,23.036859351983917,0.829154895928351,0.17084510407164946,5862.0,1.406275377E9
8188.0,8188.0,61.641615581533024,19.58159798760128,-60.67050570795081,-173.05072269125066,6568.0,1620.0,58.54268013270716,76.96314064801612,41.45731986729355,23.036859351983917,0.829154895928351,0.17084510407164946,5863.0,1.406275579E9
8189.0,8189.0,61.0251994257177,17.818164728582616,-58.20774925688491,-161.4425007060817,6568.0,1621.0,58.54268013270716,76.19350917683167,41.45731986729355,23.8064908231684,0.829154895928351,0.17084510407164946,5863.0,1.40627629E9
