learning evaluation instances,classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),classified instances of class 0,classified instances of class 1,recall (true positive) for class 0 (percent),recall (true positive) for class 1 (percent),incorrect classifications (false positive) for class 0 (percent),incorrect classifications (false positive) for class 1 (percent),size of class 0,size of class 1,training queue size,time stamp
1.0,1.0,100.0,?,?,?,1.0,0.0,100.0,0.0,0.0,0.0,0.9999999999999946,6.207760903316482E-63,1777.0,1.229715109E9
2.0,2.0,100.0,?,?,?,2.0,0.0,100.0,0.0,0.0,0.0,0.9999999999999946,6.145683294283316E-63,1777.0,1.229715923E9
3.0,3.0,100.0,?,?,?,3.0,0.0,100.0,0.0,0.0,0.0,0.9999999999999946,6.145683294283316E-63,1778.0,1.22971604E9
4.0,4.0,74.62185935992777,0.0,-Infinity,-Infinity,4.0,0.0,74.62185935992777,0.0,25.37814064007224,0.0,0.9724858743827142,0.027514125617285577,1553.0,1.230585851E9
5.0,5.0,59.39600028280787,0.0,-Infinity,-Infinity,5.0,0.0,59.39600028280787,0.0,40.603999717192124,0.0,0.9724858743827142,0.027514125617285577,1554.0,1.230586083E9
6.0,6.0,49.24628190949698,0.0,-Infinity,-Infinity,6.0,0.0,49.24628190949698,0.0,50.75371809050302,0.0,0.9724858743827142,0.027514125617285577,1555.0,1.230586097E9
7.0,7.0,41.99721528557825,0.0,-Infinity,-Infinity,7.0,0.0,41.99721528557825,0.0,58.00278471442175,0.0,0.9724858743827142,0.027514125617285577,1556.0,1.230586255E9
8.0,8.0,36.561055920912416,0.0,-Infinity,-Infinity,8.0,0.0,36.561055920912416,0.0,63.43894407908758,0.0,0.9724858743827142,0.027514125617285577,1557.0,1.230586268E9
9.0,9.0,32.333501309488994,0.0,-Infinity,-Infinity,9.0,0.0,32.333501309488994,0.0,67.66649869051099,0.0,0.9724858743827142,0.027514125617285577,1558.0,1.230587323E9
10.0,10.0,28.951969937367473,0.0,-Infinity,-Infinity,10.0,0.0,28.951969937367473,0.0,71.04803006263252,0.0,0.9724858743827142,0.027514125617285577,1559.0,1.230587371E9
11.0,11.0,26.18572810446945,0.0,-Infinity,-Infinity,11.0,0.0,26.18572810446945,0.0,73.81427189553054,0.0,0.9724858743827142,0.027514125617285577,1560.0,1.23058815E9
12.0,12.0,23.88095333547534,0.0,-Infinity,-Infinity,12.0,0.0,23.88095333547534,0.0,76.11904666452466,0.0,0.9724858743827142,0.027514125617285577,1561.0,1.230588831E9
13.0,13.0,21.93115313953852,0.0,-Infinity,-Infinity,13.0,0.0,21.93115313953852,0.0,78.06884686046148,0.0,0.974611486564826,0.025388513435173586,1560.0,1.230659983E9
14.0,14.0,20.26026144440827,0.0,-Infinity,-Infinity,14.0,0.0,20.26026144440827,0.0,79.73973855559173,0.0,0.975116717982186,0.024883282017813632,1560.0,1.230663758E9
15.0,15.0,18.812496456903993,0.0,-Infinity,-Infinity,15.0,0.0,18.812496456903993,0.0,81.187503543096,0.0,0.975116717982186,0.024883282017813632,1561.0,1.230664619E9
16.0,16.0,24.278114156430462,0.0,-Infinity,-Infinity,16.0,0.0,24.278114156430462,0.0,75.72188584356954,0.0,0.9756118952943406,0.02438810470565914,1561.0,1.230670187E9
17.0,17.0,22.732296774839448,0.0,-Infinity,-Infinity,17.0,0.0,22.732296774839448,0.0,77.26770322516055,0.0,0.9756118952943406,0.02438810470565914,1562.0,1.230672793E9
18.0,18.0,21.358629878181866,0.0,-Infinity,-Infinity,18.0,0.0,21.358629878181866,0.0,78.64137012181813,0.0,0.9756118952943406,0.02438810470565914,1563.0,1.23067517E9
19.0,19.0,25.882633073522015,0.0,-Infinity,-Infinity,19.0,0.0,25.882633073522015,0.0,74.11736692647798,0.0,0.9517305386878219,0.04826946131217797,1524.0,1.231355407E9
20.0,20.0,24.461237182212738,0.0,-Infinity,-Infinity,20.0,0.0,24.461237182212738,0.0,75.53876281778726,0.0,0.9517305386878219,0.04826946131217797,1525.0,1.231355455E9
21.0,21.0,28.4312753644531,0.0,-Infinity,-Infinity,21.0,0.0,28.4312753644531,0.0,71.56872463554691,0.0,0.9517305386878219,0.04826946131217797,1526.0,1.231355542E9
22.0,22.0,32.03912621551132,0.0,-Infinity,-Infinity,22.0,0.0,32.03912621551132,0.0,67.9608737844887,0.0,0.9660449587010776,0.03395504129892246,1507.0,1.231431405E9
23.0,23.0,30.48673553745719,0.0,-Infinity,-Infinity,23.0,0.0,30.48673553745719,0.0,69.51326446254282,0.0,0.9660449587010776,0.03395504129892246,1508.0,1.231431457E9
24.0,24.0,29.064261149997034,0.0,-Infinity,-Infinity,24.0,0.0,29.064261149997034,0.0,70.93573885000298,0.0,0.9660449587010776,0.03395504129892246,1509.0,1.231431483E9
25.0,25.0,32.256995548684806,0.0,-Infinity,-Infinity,25.0,0.0,32.256995548684806,0.0,67.74300445131522,0.0,0.9660449587010776,0.03395504129892246,1510.0,1.231434439E9
26.0,26.0,35.202896191155574,0.0,-Infinity,-Infinity,26.0,0.0,35.202896191155574,0.0,64.79710380884444,0.0,0.9677090935807814,0.03229090641921883,1513.0,1.231447333E9
27.0,27.0,37.92938966392384,0.0,-Infinity,-Infinity,27.0,0.0,37.92938966392384,0.0,62.07061033607617,0.0,0.9677090935807814,0.03229090641921883,1514.0,1.231449741E9
28.0,28.0,40.45998449253588,0.0,-Infinity,-Infinity,28.0,0.0,40.45998449253588,0.0,59.540015507464126,0.0,0.9677090935807814,0.03229090641921883,1518.0,1.231457577E9
