learning evaluation instances,classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),classified instances of class 0,classified instances of class 1,recall (true positive) for class 0 (percent),recall (true positive) for class 1 (percent),incorrect classifications (false positive) for class 0 (percent),incorrect classifications (false positive) for class 1 (percent),size of class 0,size of class 1,training queue size,time stamp
17.0,17.0,16.428845040843196,0.0,-Infinity,-Infinity,17.0,0.0,16.428845040843196,0.0,83.5711549591568,0.0,0.9628898089105522,0.03711019108944759,1601.0,1.230672793E9
18.0,18.0,15.436083033270698,0.0,-Infinity,-Infinity,18.0,0.0,15.436083033270698,0.0,84.56391696672928,0.0,0.9628898089105522,0.03711019108944759,1603.0,1.23067517E9
19.0,19.0,20.300792663524504,0.0,-Infinity,-Infinity,19.0,0.0,20.300792663524504,0.0,79.69920733647548,0.0,0.9325114844132663,0.06748851558673367,1581.0,1.231355407E9
20.0,20.0,19.1859345576939,0.0,-Infinity,-Infinity,20.0,0.0,19.1859345576939,0.0,80.81406544230609,0.0,0.9325114844132663,0.06748851558673367,1582.0,1.231355455E9
21.0,21.0,23.43322314834684,0.0,-Infinity,-Infinity,21.0,0.0,23.43322314834684,0.0,76.56677685165317,0.0,0.9325114844132663,0.06748851558673367,1583.0,1.231355542E9
22.0,22.0,27.293030800833872,0.0,-Infinity,-Infinity,22.0,0.0,27.293030800833872,0.0,72.70696919916612,0.0,0.9525253592715697,0.047474640728430315,1564.0,1.231431405E9
23.0,23.0,25.970602520297735,0.0,-Infinity,-Infinity,23.0,0.0,25.970602520297735,0.0,74.02939747970227,0.0,0.9525253592715697,0.047474640728430315,1565.0,1.231431457E9
24.0,24.0,29.4247251076309,0.0,-Infinity,-Infinity,24.0,0.0,29.4247251076309,0.0,70.5752748923691,0.0,0.9525253592715697,0.047474640728430315,1566.0,1.231431483E9
25.0,25.0,28.100352745460732,0.0,-Infinity,-Infinity,25.0,0.0,28.100352745460732,0.0,71.89964725453927,0.0,0.9525253592715697,0.047474640728430315,1567.0,1.231434439E9
26.0,26.0,31.227010896455354,0.0,-Infinity,-Infinity,26.0,0.0,31.227010896455354,0.0,68.77298910354465,0.0,0.9548520890446854,0.04514791095531452,1570.0,1.231447333E9
27.0,27.0,34.12079927389181,0.0,-Infinity,-Infinity,27.0,0.0,34.12079927389181,0.0,65.8792007261082,0.0,0.9548520890446854,0.04514791095531452,1571.0,1.231449741E9
28.0,28.0,36.80666886286358,0.0,-Infinity,-Infinity,28.0,0.0,36.80666886286358,0.0,63.19333113713642,0.0,0.9548520890446854,0.04514791095531452,1575.0,1.231457577E9
29.0,29.0,39.30612915661841,0.0,-Infinity,-Infinity,29.0,0.0,39.30612915661841,0.0,60.6938708433816,0.0,0.9548520890446854,0.04514791095531452,1576.0,1.231457596E9
30.0,30.0,41.6378217384874,0.0,-Infinity,-Infinity,30.0,0.0,41.6378217384874,0.0,58.36217826151261,0.0,0.9548520890446854,0.04514791095531452,1578.0,1.231457834E9
