learning evaluation instances,classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),classified instances of class 0,classified instances of class 1,recall (true positive) for class 0 (percent),recall (true positive) for class 1 (percent),incorrect classifications (false positive) for class 0 (percent),incorrect classifications (false positive) for class 1 (percent),size of class 0,size of class 1,training queue size,time stamp
31.0,31.0,87.35779391426847,0.0,50.25125628140703,0.0,27.0,4.0,100.0,0.0,0.0,100.0,0.9921432185919234,0.007856781408072194,4394.0,1.302863407E9
32.0,32.0,87.81747762924073,0.0,50.25125628140705,0.0,28.0,4.0,100.0,0.0,0.0,100.0,0.9921432185919234,0.007856781408072194,4396.0,1.302863908E9
33.0,33.0,88.24906955743965,0.0,50.251256281407066,0.0,29.0,4.0,100.0,0.0,0.0,100.0,0.9921432185919234,0.007856781408072194,4397.0,1.302863993E9
34.0,34.0,88.6550485335333,0.0,50.25125628140711,0.0,30.0,4.0,100.0,0.0,0.0,100.0,0.9922217864060042,0.007778213593991472,4400.0,1.302871475E9
35.0,35.0,89.03761010109388,0.0,50.251256281407095,0.0,31.0,4.0,100.0,0.0,0.0,100.0,0.99252827905668,0.007471720943315968,4397.0,1.302877015E9
36.0,36.0,89.39870585857308,0.0,50.25125628140711,0.0,32.0,4.0,100.0,0.0,0.0,100.0,0.99252827905668,0.007471720943315968,4398.0,1.302877959E9
37.0,37.0,89.74007642484865,0.0,50.25125628140711,0.0,33.0,4.0,100.0,0.0,0.0,100.0,0.992676966303452,0.007323033696543981,4398.0,1.302878413E9
38.0,38.0,90.06327919968443,0.0,50.251256281407095,0.0,34.0,4.0,100.0,0.0,0.0,100.0,0.9927501966404175,0.007249803359578541,4399.0,1.3028796E9
39.0,39.0,90.36971185335013,0.0,50.25125628140707,0.0,35.0,4.0,100.0,0.0,0.0,100.0,0.9927501966404175,0.007249803359578541,4400.0,1.302879616E9
40.0,40.0,90.66063229279781,0.0,50.25125628140719,0.0,36.0,4.0,100.0,0.0,0.0,100.0,0.9932427095093935,0.006757290490602839,4403.0,1.30289431E9
41.0,41.0,87.97612500284056,-4.672254890624326,33.99710108786146,-32.67249377288488,37.0,4.0,96.77991609588881,0.0,3.220083904111197,100.0,0.9612483373471047,0.03875166265289249,4407.0,1.302986317E9
42.0,42.0,88.32531033654422,27.621872576357486,43.305410713143274,0.24813454075860134,37.0,5.0,96.77991609588881,20.404019958388,3.220083904111197,79.59598004161201,0.9612483373471047,0.03875166265289249,4407.0,1.302986362E9
43.0,43.0,85.80818374976329,20.758951710899847,37.90562769823285,-24.815960485370685,38.0,5.0,93.73120552787614,20.404019958388,6.268794472123848,79.59598004161201,0.9612483373471047,0.03875166265289249,4408.0,1.302986419E9
44.0,44.0,83.40720531145081,15.517404577046939,25.31060507203727,-50.13322818853151,39.0,5.0,90.84068433699397,20.404019958388,9.15931566300601,79.59598004161201,0.9612483373471047,0.03875166265289249,4409.0,1.302987005E9
45.0,45.0,81.11463032841716,11.434314503634578,12.588359995072024,-75.70622586849208,40.0,5.0,88.09648692518144,20.404019958388,11.903513074818555,79.59598004161201,0.9616358539736336,0.038364146026363566,4409.0,1.302988021E9
46.0,46.0,81.62480253992187,11.758041576668226,12.58835999507199,-75.70622586849179,41.0,5.0,88.4489559827791,20.404019958388,11.551044017220878,79.59598004161201,0.9073808963851286,0.09261910361487055,4355.0,1.303137419E9
47.0,47.0,79.45666685607323,8.520749028149034,-0.3921981897716335,-101.79845898752093,42.0,5.0,85.88030999985904,20.404019958388,14.119690000140949,79.59598004161201,0.9097714069040435,0.09022859309595578,4355.0,1.303148952E9
48.0,48.0,79.99345295284395,22.264243768329386,11.245060911541422,-59.70653766133371,42.0,6.0,85.88030999985904,34.00555503185112,14.119690000140949,65.9944449681489,0.9097714069040435,0.09022859309595578,4356.0,1.303149001E9
49.0,49.0,80.50791512707671,32.04846063710747,11.245060911541389,-31.91355616627257,42.0,7.0,85.88030999985904,43.71995599438129,14.119690000140949,56.28004400561871,0.9144096870766624,0.08559031292333731,4339.0,1.303226769E9
50.0,50.0,81.00139320993401,32.396594356875575,20.63203455761513,-31.91355616627251,43.0,7.0,86.2826980238698,43.71995599438129,13.717301976130186,56.28004400561871,0.9144096870766624,0.08559031292333731,4340.0,1.303226804E9
51.0,51.0,81.47512195531822,39.783128542638735,28.29261629745559,-12.022909503101742,43.0,8.0,86.2826980238698,51.00489825030298,13.717301976130186,48.99510174969702,0.8805898961991001,0.11941010380089956,4318.0,1.303283675E9
52.0,52.0,79.47344122813952,35.53317731114286,25.779272147993986,-27.25376436740863,44.0,8.0,83.86844231419444,51.00489825030298,16.131557685805546,48.99510174969702,0.8817839972371091,0.11821600276289056,4319.0,1.303290205E9
53.0,53.0,79.97049660435836,35.89792706836319,25.77927214799397,-27.253764367408756,45.0,8.0,84.31184292268796,51.00489825030298,15.688157077312024,48.99510174969702,0.8817839972371091,0.11821600276289056,4320.0,1.303290205E9
54.0,54.0,80.44871764657654,36.24498104946869,25.779272147993986,-27.25376436740865,46.0,8.0,84.73564515318432,51.00489825030298,15.264354846815642,48.99510174969702,0.8817839972371091,0.11821600276289056,4324.0,1.303291734E9
55.0,55.0,78.55422529932422,32.45109633455169,16.623957669493254,-42.95083801615719,47.0,8.0,82.48487859407749,51.00489825030298,17.515121405922496,48.99510174969702,0.8817839972371091,0.11821600276289056,4325.0,1.303292915E9
56.0,56.0,76.72907556025795,29.087231358895306,7.376165266967215,-58.80646796438801,48.0,8.0,80.3295936793599,51.00489825030298,19.67040632064007,48.99510174969702,0.8714635739240648,0.12853642607593496,4322.0,1.303307758E9
57.0,57.0,77.26269632185064,34.86051233722271,15.289176480644167,-36.88349744423287,48.0,9.0,80.3295936793599,56.6702014840812,19.67040632064007,43.3297985159188,0.8693795462745579,0.13062045372544184,4322.0,1.303310313E9
58.0,58.0,77.77742488722265,35.24275814073333,22.018557141832424,-36.88349744423286,49.0,9.0,80.83541209869563,56.6702014840812,19.16458790130434,43.3297985159188,0.8693795462745579,0.13062045372544184,4323.0,1.303310489E9
59.0,59.0,76.03866897465696,32.05446580679665,13.994370950716881,-50.968626286762095,50.0,9.0,78.78891453573577,56.6702014840812,21.211085464264183,43.3297985159188,0.8190818981355585,0.1809181018644413,4317.0,1.303321121E9
60.0,60.0,74.35953053314158,28.10267489267652,12.945136734298105,-44.62031439532463,50.0,10.0,78.78891453573577,50.74346740265248,21.211085464264183,49.25653259734751,0.8190818981355585,0.1809181018644413,4317.0,1.303321174E9
