instance class,predicted class,recall(0),recall(1),avg-gmean,timestamp 
0,0,100.0,0.0,0.0,1195002354
0,0,100.0,0.0,0.0,1195003702
0,0,100.0,0.0,0.0,1195049108
0,1,74.62185935992777,0.0,0.0,1195077690
0,0,79.80002024119588,0.0,0.0,1195078176
0,0,83.25183694134812,0.0,0.0,1195135503
0,0,85.71717127995954,0.0,0.0,1195239687
0,0,87.5659541712154,0.0,0.0,1195240285
0,0,89.0037027935702,0.0,0.0,1195240937
0,1,79.69543734001996,0.0,0.0,1195241081
0,0,81.63545491914304,0.0,0.0,1195253758
0,0,83.2518369413481,0.0,0.0,1195506089
0,1,76.45460210318916,0.0,0.0,1195506405
1,0,76.45460210318916,0.0,0.0,1195507776
1,0,76.45460210318916,0.0,0.0,1195509637
0,0,78.24847995147208,0.0,0.0,1195513349
1,0,78.24847995147208,0.0,0.0,1195514428
1,1,78.24847995147208,25.37814064007224,44.56232634277896,1195517821
0,0,79.80280782812184,25.37814064007224,45.00274303345002,1195570869
1,1,79.80280782812184,40.603999717192124,56.92374887939301,1195597186
0,1,74.43040912262693,40.603999717192124,54.974287725859966,1195597346
0,1,69.69133345145447,40.603999717192124,53.19536524692353,1195611047
0,1,65.48002657408925,40.603999717192124,51.5630776864226,1195664235
0,0,67.46585756660589,40.603999717192124,52.339121711723344,1195666121
1,0,67.46585756660589,33.665499481532606,47.65786181659563,1195673464
0,0,69.25253422545808,33.665499481532606,48.28479217167635,1196557078
1,0,69.25253422545808,28.709928437253048,44.589632222202944,1196557288
1,0,69.25253422545808,24.993688080082183,41.603800778129816,1196613031
0,0,70.86850738385506,24.993688080082183,42.086403603219345,1196613849
1,0,70.86850738385506,22.103668122015467,39.57845332394047,1196614120
0,0,72.33705500661866,22.103668122015467,39.986425906678335,1196614316
0,1,68.83211017401591,22.103668122015467,39.00566778590583,1196619427
0,0,70.28636640076638,22.103668122015467,39.4155618560096,1196619578
1,0,70.28636640076638,19.79200238318556,37.2975593210792,1196620789
0,0,71.62374219525667,19.79200238318556,37.65072743282908,1196620878
0,0,72.85772401780758,19.79200238318556,37.973678349534744,1196627134
0,0,73.99980034454956,19.79200238318556,38.27014795861888,1196638433
0,1,70.98285704310115,19.79200238318556,37.481900642341735,1196638503
1,0,70.98285704310115,17.900957833622055,35.64633404487165,1196638764
0,0,72.13056037435273,17.900957833622055,35.93335664500073,1196642615
0,0,73.20122805023146,17.900957833622055,36.199062096918276,1196643819
0,0,74.20231543467746,17.900957833622055,36.44574762236719,1196643855
1,1,74.20231543467746,25.12702388718942,43.17966364403392,1196645097
0,0,75.14034598079031,25.12702388718942,43.45173492912562,1196645208
1,0,75.14034598079031,23.07548618639872,41.64012506850751,1196645993
0,1,72.4783384079397,23.07548618639872,40.89587872568023,1196646506
1,1,72.4783384079397,28.93621455144552,45.795728518109826,1196648302
0,0,73.42917511386321,28.93621455144552,46.09514470560224,1196648896
1,1,73.42917511386321,34.01431587477906,49.97642601014411,1196685860
1,1,73.42917511386321,38.4565330551451,53.139735603202986,1196694989
0,0,74.32516629107218,38.4565330551451,53.46296114415824,1196695158
0,0,75.17088274631365,38.4565330551451,53.76626765099143,1196697394
0,0,75.9704011545325,38.4565330551451,54.05144071356389,1196775213
0,1,73.57722110024825,38.4565330551451,53.19327810304058,1197063423
0,1,71.30821671095508,38.4565330551451,52.366657264411046,1197067731
0,0,72.17496400614273,38.4565330551451,52.68395286096266,1197073822
1,1,72.17496400614273,42.37508127160658,55.302983333049745,1197209827
1,1,72.17496400614273,45.85723901676634,57.530379587277146,1197263479
1,1,72.17496400614273,48.97191038265512,59.45204680395941,1197263681
1,1,72.17496400614273,51.77421866085171,61.12939038051284,1197263856
